-10  3.10401  i
-9.79798  2.30861  i
-9.59596  1.14143  i
-9.39394 -0.209569  i
-9.19192 -1.52682  i
-8.9899 -2.59819  i
-8.78788 -3.25115  i
-8.58586 -3.38054  i
-8.38384 -2.96553  i
-8.18182 -2.07296  i
-7.9798 -0.846551  i
-7.77778  0.516182  i
-7.57576  1.79579  i
-7.37374  2.7862  i
-7.17172  3.32793  i
-6.9697  3.33372  i
-6.76768  2.80266  i
-6.56566  1.82025  i
-6.36364  0.54471  i
-6.16162 -0.818549  i
-5.9596 -2.04999  i
-5.75758 -2.9513  i
-5.55556 -3.37733  i
-5.35354 -3.25948  i
-5.15152 -2.61672  i
-4.94949 -1.55257  i
-4.74747 -0.238387  i
-4.54545  1.11418  i
-4.34343  2.28732  i
-4.14141  3.09212  i
-3.93939  3.39895  i
-3.73737  3.15842  i
-3.53535  2.40926  i
-3.33333  1.27211  i
-3.13131 -0.0698958  i
-2.92929 -1.40065  i
-2.72727 -2.50584  i
-2.52525 -3.2075  i
-2.32323 -3.39261  i
-2.12121 -3.03139  i
-1.91919 -2.18198  i
-1.71717 -0.981196  i
-1.51515  0.377604  i
-1.31313  1.67559  i
-1.11111  2.70375  i
-0.909091  3.29649  i
-0.707071  3.35837  i
-0.505051  2.87941  i
-0.30303  1.93676  i
-0.10101  0.682206  i
 0.10101 -0.682206  i
 0.30303 -1.93676  i
 0.505051 -2.87941  i
 0.707071 -3.35837  i
 0.909091 -3.29649  i
 1.11111 -2.70375  i
 1.31313 -1.67559  i
 1.51515 -0.377604  i
 1.71717  0.981196  i
 1.91919  2.18198  i
 2.12121  3.03139  i
 2.32323  3.39261  i
 2.52525  3.2075  i
 2.72727  2.50584  i
 2.92929  1.40065  i
 3.13131  0.0698958  i
 3.33333 -1.27211  i
 3.53535 -2.40926  i
 3.73737 -3.15842  i
 3.93939 -3.39895  i
 4.14141 -3.09212  i
 4.34343 -2.28732  i
 4.54545 -1.11418  i
 4.74747  0.238387  i
 4.94949  1.55257  i
 5.15152  2.61672  i
 5.35354  3.25948  i
 5.55556  3.37733  i
 5.75758  2.9513  i
 5.9596  2.04999  i
 6.16162  0.818549  i
 6.36364 -0.54471  i
 6.56566 -1.82025  i
 6.76768 -2.80266  i
 6.9697 -3.33372  i
 7.17172 -3.32793  i
 7.37374 -2.7862  i
 7.57576 -1.79579  i
 7.77778 -0.516182  i
 7.9798  0.846551  i
 8.18182  2.07296  i
 8.38384  2.96553  i
 8.58586  3.38054  i
 8.78788  3.25115  i
 8.9899  2.59819  i
 9.19192  1.52682  i
 9.39394  0.209569  i
 9.59596 -1.14143  i
 9.79798 -2.30861  i
 10 -3.10401  i

